HoleSection,M_Depth,RateofPenetration,WeightonBit,Rotation,Torque,StandpipePressure,FlowIn,FlowOut,PumpStroke,MudWeight,FunnelViscosity,PlasticViscosity,YieldPoint,Gel_Strength10sec,Gel_Strength10min,Solid,LossesSeverity
6.125,3063,2.358,3.0272,184.46,0.0,2305.5,213.97770000000003,56.41,50.0,76.0,42,13,16,3,5,15,No-Loss
6.125,3031,11.74,7.1,172.0,4.162,2552.0,199.0,46.69,38.0,76.0,41,10,11,3,4,13,No-Loss
8.5,2269,12.5,7.9,241.0,4.1,2373.0,532.0,47.69,102.0,74.0,45,12,20,4,6,12,No-Loss
8.5,2598,27.288,10.518392,223.45,3.79,1870.5,488.71450000000004,49.88,94.58,77.0,41,10,12,3,4,12,No-Loss
8.5,2701,10.44,10.3,205.0,3.092,2276.0,438.0,47.52,95.0,81.0,48,16,14,3,4,17,No-Loss
8.5,2010,25.422,18.383200000000002,266.96999999999997,5.7424,2363.5,536.2651,57.07,117.06,76.0,36,13,12,3,5,11,No-Loss
17.5,796,9.594,44.130488,141.81,2.44,1133.9,921.9533000000001,87.2,165.9,77.0,41,11,15,9,10,13,No-Loss
17.5,488,36.4,35.5,152.0,2.378,2823.0,948.0,58.76,181.0,74.0,38,5,13,8,10,11,No-Loss
12.25,1494,7.88,9.5,163.0,5.03,2324.0,610.8633000000001,43.79,108.0,117.0,55,41,22,6,7,32,No-Loss
6.125,3340,2.7960000000000003,3.187664,169.95,1.2307899999999998,2617.25,240.39470000000003,63.36,45.19,77.0,56,18,22,5,6,13,No-Loss
17.5,884,10.704,23.7314,142.66,3.5,2475.15,990.6375,58.36,173.39,75.0,38,12,15,5,6,12,No-Loss
6.125,3364,1.266,10.5776,135.0,0.0,2750.65,224.5445,66.67,50.84,79.0,43,16,13,4,6,17,No-Loss
4.125,3289,2.5073129962390306,3.097744,302.47,0.8180700000000001,1552.95,92.4595,36.59,20.77,77.0,46,15,16,3,4,14,No-Loss
17.5,762,88.89,24.5,149.0,3.761,2810.0,889.0,59.5,170.0,75.0,40,8,13,4,7,13,No-Loss
12.25,1682,1.1001100110011002,16.4,180.0,1.86,2637.0,742.3177000000001,90.0,142.0,118.0,45,29,15,4,6,36,No-Loss
8.5,2725,5.376,12.749,263.93,3.071,2689.75,525.6983,52.05,105.93,78.0,36,13,14,3,5,13,No-Loss
6.125,3115,7.317073170731708,8.0,217.0,4.3,2283.0,222.0,48.94,48.0,76.0,44,14,24,4,6,13,No-Loss
12.25,2330,4.918032786885246,4.1,175.0,6.7,2595.0,739.0,49.3,140.0,73.0,44,14,24,4,6,10,No-Loss
8.5,3075,2.07,9.5,168.0,5.33,2235.0,480.13380000000006,44.96,104.0,80.0,50,20,22,5,7,16,No-Loss
